IC01	IC02	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC10	IC11	IC12	IC13	IC14	IC15	IC16	IC17	IC18	IC19	IC20
290336.5	336266.22	423763.12	356545.84	374100.28	328930.0	284987.38	428973.16	146354.25	369057.25	352068.6	278854.78	341471.2	445085.3	394219.2	378528.47	423322.97	303462.0	133474.08	325234.47
290072.44	336528.7	424580.34	356173.4	374768.2	329641.94	285225.25	428231.34	146177.11	368886.8	352042.47	278968.34	340475.03	446008.84	394472.3	379500.06	424158.88	303226.9	133715.5	325590.5
290700.28	337011.44	425747.6	356474.62	375782.22	329456.6	285439.25	429051.6	146648.05	368577.6	350772.06	278855.97	338579.28	444981.94	393101.75	380743.0	424313.6	303776.22	135630.66	327003.6
290056.25	336292.72	424852.62	356854.16	373665.7	328331.0	285552.88	429257.6	147099.03	367767.16	350415.34	278788.75	338250.3	444026.9	393021.5	380500.3	423138.38	303515.38	135811.39	326636.38
288770.94	334574.44	424163.78	356245.97	371557.28	327255.34	284846.6	429022.9	146971.16	368403.75	350554.6	278319.84	340320.62	443295.84	393112.25	379466.53	423165.47	302741.66	134578.16	324298.6
288707.06	333091.4	423601.34	355995.38	370966.62	326675.7	285620.03	428929.3	146025.75	368229.06	349537.2	277912.62	341697.84	442606.6	392264.2	378590.84	422097.0	302303.78	133173.38	323500.34
289378.5	333937.38	423913.84	356076.94	371615.0	327649.5	286299.9	428541.06	145827.34	368354.34	349460.12	278252.84	342728.5	442469.4	393050.06	378301.16	421670.4	302011.34	132996.9	324473.6
288705.84	334592.53	424545.75	355551.38	370721.38	327953.22	285396.44	428319.34	145993.44	367418.88	349356.16	278629.22	343019.4	441816.97	392849.7	377328.0	420975.22	300791.53	132441.31	325866.47
287801.97	331876.7	423553.34	354742.38	372244.38	326754.47	284761.1	428027.62	145075.73	369069.9	348258.53	278962.72	344271.62	440922.25	392230.7	377162.34	421326.9	300283.22	129958.625	324401.47
287195.53	331492.06	423825.0	355638.72	373564.25	326128.16	284179.3	428213.34	144834.17	369094.94	347856.25	278484.6	343105.7	440754.06	392425.97	377780.7	421291.03	300296.94	129658.47	324504.12
288674.9	330929.03	424068.16	355315.25	374442.75	327122.3	283790.53	427830.22	145226.12	368908.84	346974.4	278903.16	342337.0	440604.3	393860.97	377759.88	420923.75	300246.03	130052.945	323776.62
289069.9	330220.28	424537.3	355238.75	374369.03	328108.94	284164.03	427715.0	145281.86	369287.2	347064.66	280267.75	340580.88	441860.3	394432.7	378163.44	421417.22	300442.28	129224.19	323304.4
289449.5	330887.16	425110.03	356229.97	373829.56	328914.03	283762.94	428930.66	145140.94	370115.1	349809.5	280079.12	337817.16	442586.97	394468.2	378195.6	422358.75	301226.4	128404.195	325226.75
289756.47	332258.1	426037.03	356455.72	374291.5	329087.53	284439.56	428488.56	145413.47	371717.9	352227.84	280781.94	339956.22	442547.4	395710.8	379125.78	423539.3	301531.47	128892.016	325266.6
290467.4	334495.06	427464.72	357032.03	375935.53	330208.47	285644.12	428931.5	146187.64	372287.78	352009.25	280422.28	342660.22	442936.06	397115.7	381720.38	425898.3	301199.06	131153.9	326165.75
291123.44	335802.38	428184.47	357889.47	376415.84	330423.22	285906.06	428994.72	146302.9	371493.28	350993.84	280744.34	343896.9	442534.12	397616.53	383731.06	427376.62	301185.53	132672.9	327241.84
290391.22	336047.25	428654.94	358361.38	377738.88	330243.5	286280.62	429327.22	147069.52	370990.0	350819.34	280960.84	344651.28	442475.2	397243.8	384844.16	427990.34	301358.97	134754.36	327394.94
290840.84	336063.1	427876.94	358328.53	379164.5	330291.56	285378.44	429693.4	147588.8	371236.84	351436.78	281604.72	345597.66	442660.94	396484.2	383792.06	428000.2	301955.84	135381.78	327998.44
290399.78	334676.34	428077.44	357965.97	379495.53	330043.44	284169.72	430117.28	148370.03	371231.88	351006.38	281333.8	344365.6	443671.3	396945.8	382294.6	427921.66	302548.94	134850.03	325889.88
289423.66	334647.38	427634.9	357312.72	378212.25	329874.3	284138.94	429780.44	147703.95	370818.3	350704.6	281212.0	341618.25	443787.66	396810.72	381508.25	426633.06	302288.84	133390.31	326239.38
289339.78	334983.56	428527.8	356913.94	377416.72	330140.0	284227.6	428671.44	147088.12	370143.53	352443.0	280559.78	339714.56	444075.25	396833.56	381821.66	426980.88	301399.84	132859.9	327614.16
289870.72	336041.7	427875.03	357338.5	376483.94	330801.62	284895.8	428862.0	147074.94	371064.75	354308.78	280786.53	341877.84	443742.56	397631.0	382269.16	428281.06	300582.22	133787.36	326824.4
290453.0	336544.28	426976.8	357361.22	375851.47	330456.62	284936.12	428775.72	147339.7	372084.3	353565.12	280355.0	344065.78	442683.22	397001.88	383547.75	429586.47	301002.22	135179.16	327284.53
290138.94	335140.75	427505.28	357096.53	375274.7	331091.9	285373.97	429589.28	147299.9	370673.97	351723.56	279173.4	345588.0	442774.2	396583.62	384535.72	430008.28	301487.03	136269.84	328296.28
290919.72	335385.56	426387.4	356428.62	375820.6	331813.6	284897.62	429161.62	147557.88	371036.1	351363.0	280997.53	342653.1	443151.75	396812.34	384147.28	429481.88	301351.16	136218.61	327982.2
290206.53	335352.47	427431.6	356688.88	375230.97	330553.34	285096.44	428822.66	147060.61	371249.34	353342.6	279541.84	340857.03	443541.88	395260.2	384522.75	429843.6	299961.25	136692.36	328632.03
289816.22	334791.2	428253.75	355512.72	377310.03	330393.38	285043.12	429343.16	146851.58	371510.0	353855.72	279514.75	343024.06	445644.94	396854.0	386187.34	431701.3	300250.06	136848.75	325944.25
289620.7	337763.1	430389.0	358177.75	380979.16	331575.2	284663.03	429216.72	147840.42	368942.62	357562.12	285454.44	342465.1	447516.2	395316.53	386278.9	429128.5	302579.53	136634.44	325105.97
292808.94	341854.4	427022.5	359490.94	379536.12	332081.53	284548.4	432204.16	149406.23	372145.4	356151.44	284748.66	344389.62	447630.7	398644.94	382890.25	424167.8	305718.94	137798.14	331905.62
289744.78	338398.53	425027.62	358041.8	374259.84	328123.6	285592.03	430012.44	147801.03	367290.94	351907.72	280376.72	343531.6	444104.25	394263.28	375995.84	417085.88	304457.56	134713.34	324652.8
290921.75	337139.9	423389.1	357550.9	375001.25	328397.16	285354.94	429737.97	147496.19	369581.44	354014.3	280351.88	344497.75	445764.1	395126.84	377193.5	420283.3	302711.1	133221.6	324846.5
289724.97	336958.06	423009.6	356977.0	374475.16	327844.28	285153.34	429425.66	147285.27	367520.0	351379.25	280221.88	340194.47	444899.06	392587.03	375214.9	417334.03	302732.44	133250.06	325677.03
288204.44	334493.6	421634.16	356982.94	372184.28	326175.03	283408.7	428964.03	146074.58	366343.9	348493.9	278928.62	338422.53	442986.8	389574.2	374450.88	416713.34	302193.2	130274.28	324733.25
287919.1	331732.2	419874.22	356973.47	370508.22	324482.6	283374.56	428431.5	145108.67	366229.1	348696.9	278744.4	338186.25	443013.8	388683.78	373477.44	417555.97	301127.6	128919.66	322907.44
