IC01	IC02	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC10	IC11	IC12	IC13	IC14	IC15	IC16	IC17	IC18	IC19	IC20
310301.38	322335.38	437511.38	333480.0	391735.28	349001.1	305455.5	428578.7	259829.94	277806.03	349903.88	238679.94	304111.97	418551.9	405360.66	391784.7	431505.8	290034.75	126818.84	285037.62
310662.4	320399.03	438715.72	332995.84	391121.97	349348.62	304227.5	428506.56	259209.14	276263.06	348451.7	236847.5	299547.56	419296.1	404137.12	390891.62	431429.3	290797.38	126893.89	285322.34
309554.78	321487.22	437753.47	332733.72	390832.88	349266.6	303936.5	428366.16	261438.23	277784.03	348488.44	238171.06	305821.12	416790.22	405069.16	390716.47	431345.16	290760.97	126082.5	285592.3
308891.94	321269.75	436811.44	332815.56	389322.97	348304.22	305503.7	429062.1	259132.42	277291.88	351905.53	237558.03	300158.16	418142.12	404304.03	390883.34	429181.8	290390.84	125205.94	284495.7
309125.03	318947.66	436686.03	332724.84	389571.22	347929.94	304484.12	428517.66	258172.62	276196.94	348234.84	235456.39	305056.34	416615.5	403564.62	389575.84	429719.44	289984.0	126009.234	283558.66
309424.22	319443.34	435887.16	332085.22	391002.0	348631.62	306558.94	428640.38	260212.23	277366.03	348596.94	236428.17	309165.3	416844.66	404099.06	389828.97	430120.44	290033.5	126253.14	283782.22
309282.62	318152.8	436216.2	332341.22	389984.03	348121.3	306380.88	428015.22	257507.08	277240.3	351014.53	236374.06	297492.1	417837.0	403308.53	389887.06	429340.7	289972.53	125869.59	283255.22
309526.0	316633.88	436130.84	332879.44	391154.28	347219.47	304495.22	428236.22	257370.84	277320.03	350022.56	235544.34	305836.75	416034.12	402195.78	389435.75	429071.3	288979.75	125117.445	283678.12
310141.34	319395.56	437096.2	332432.97	391836.8	347806.84	306029.06	427688.5	257674.47	277145.12	350942.0	236712.89	302748.84	417343.75	403092.38	390839.16	429604.16	290829.53	126513.95	285294.16
309915.34	319357.88	436787.34	333098.38	390287.84	348498.3	305889.8	428637.34	258297.0	277038.72	347764.72	235757.88	305274.34	416597.4	403481.8	391500.7	430262.6	290561.97	127385.35	284042.44
309240.44	320739.06	437680.03	332450.28	390115.94	348773.0	306094.3	428408.62	260007.27	276879.5	348976.5	236446.8	309458.47	417365.9	402866.34	390798.97	429532.53	290723.03	128546.82	284882.6
309163.56	320049.72	437072.1	332569.75	389667.88	349276.3	305384.5	427809.1	258967.28	277674.0	349613.66	237030.34	297517.94	418183.25	402829.88	390595.38	429679.88	289544.38	127085.18	284960.88
309276.22	319666.2	435334.6	332796.34	389414.47	348482.6	304387.75	428287.12	258045.81	275604.38	347397.3	235449.23	301898.75	415736.8	401910.5	388896.03	428783.44	289312.9	126613.41	283554.62
310336.53	320561.03	434965.38	332848.44	388789.12	349912.47	305710.56	427938.06	258784.19	277293.8	347417.84	236569.97	306530.3	416783.56	403338.0	389558.84	429253.7	289980.44	126439.766	285001.25
