IC01	IC02	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC10	IC11	IC12	IC13	IC14	IC15	IC16	IC17	IC18	IC19	IC20
320928.47	285003.7	437490.7	309847.94	404341.62	339727.53	297924.94	451592.5	232611.58	363742.56	361296.8	249201.17	334901.44	443323.94	395550.03	439497.56	468932.47	307027.88	176099.67	263166.88
320075.66	284842.5	436631.4	309110.03	402514.2	339280.84	296671.62	452053.3	232625.0	365242.78	360537.78	249355.55	335492.22	442782.47	396207.75	438681.44	468667.75	305258.0	175873.05	263224.8
319449.12	284792.25	438212.28	309427.1	403339.6	338973.25	297168.5	451655.34	231718.88	364362.44	356204.5	249262.73	336658.38	442652.38	397559.75	439035.6	470179.1	304565.1	175786.36	262511.94
320209.03	285680.66	439716.28	309866.7	404516.56	339939.84	298077.66	451828.7	232892.02	363601.25	356022.06	248958.48	336381.0	443474.7	397898.53	440805.7	472415.84	306183.66	176442.12	262385.72
320575.8	285569.12	437764.25	309881.06	404318.38	339778.28	297569.28	452453.22	234760.22	364306.3	355097.56	249660.52	337101.2	442879.25	396424.03	440337.06	469837.78	307831.3	176822.75	262613.62
320500.28	286282.25	434642.06	309895.7	403191.12	338786.75	296838.97	453201.5	232866.64	363583.78	353389.53	249152.88	336669.28	442673.62	396147.25	438141.9	467404.4	306605.25	175271.25	262455.78
319732.97	285501.72	433990.34	309425.25	401446.47	337616.78	296561.16	452221.53	231228.39	362080.16	351605.8	248499.64	334880.4	441754.0	395004.62	436510.47	465167.2	304910.22	174467.16	262093.73
318720.88	285209.78	434362.88	309799.75	401212.0	336934.38	297477.75	451631.6	230448.0	362499.9	351536.2	247938.56	334531.03	441411.06	394962.1	436717.7	466377.12	304996.34	173510.84	262649.1
319868.34	286216.28	435667.12	309885.62	403500.4	338519.16	298324.56	450498.44	231174.33	364054.9	355123.2	248801.6	337166.7	442828.84	397206.28	438991.3	469114.44	305493.16	174400.98	263060.53
320751.53	285968.16	435614.28	309782.72	403550.2	339067.2	298255.22	452473.62	231691.8	365125.94	353610.38	250292.22	337500.2	443182.06	396470.88	439457.0	468473.9	305889.12	176276.0	263313.72
320288.06	286116.4	436811.72	310640.53	402450.16	338659.3	298303.5	452326.25	231746.4	362487.06	351552.47	248854.61	333745.44	441577.28	397435.0	438036.12	467548.3	306268.78	176240.17	262593.6
320574.38	286205.78	437542.34	310760.3	403416.44	339014.44	298527.28	451684.25	232400.31	364883.38	354683.72	249383.47	336997.44	442061.47	399209.94	440338.44	470752.3	305063.1	175011.77	262614.56
321908.1	288399.72	438259.7	311389.7	405920.03	341230.03	299709.0	452762.66	233182.08	367506.47	357613.4	251080.4	339032.78	443741.5	400307.12	443470.25	471826.62	305678.28	177017.22	264762.94
320960.75	287886.34	438510.9	311489.06	406582.53	340312.28	299735.06	453979.53	232816.3	364120.0	357867.16	250596.58	339719.53	442420.88	398055.44	442130.6	469987.3	305776.75	177785.97	264484.78
319359.97	286777.16	436752.53	311978.34	405517.0	338446.22	298688.3	453153.53	233348.31	363100.6	357322.7	250386.94	339429.6	441074.97	396278.88	438536.75	468026.72	306981.88	176507.1	264111.22
318006.94	285259.84	434901.2	310600.1	404593.12	337472.8	298509.25	453809.66	231302.66	365579.8	356908.94	249800.84	339486.1	441539.94	395607.44	437809.78	467824.88	304480.84	174497.61	262693.66
317702.22	284481.4	435911.38	310330.38	404872.2	337631.22	298149.38	451528.3	228995.36	363642.2	358845.66	249715.5	338964.75	442484.44	395063.03	437415.28	468054.0	305276.25	173614.56	262583.28
319158.56	285862.0	437760.5	310755.84	404918.84	338951.7	298368.56	451318.75	232835.45	365047.25	359802.38	249827.22	338187.12	443172.97	398254.8	439437.7	470289.0	306117.34	174980.4	264137.9
319141.5	285070.97	438408.2	309910.66	403776.88	338867.16	298004.03	452096.8	232598.67	365782.38	359064.22	249494.89	336840.25	442726.06	398672.2	440240.56	471823.28	304545.8	175320.73	262705.28
319558.3	285554.3	438874.72	310243.7	404529.1	339008.7	297392.1	451735.6	232178.52	363754.72	356505.97	249623.83	334086.7	443602.56	397930.94	439221.53	471766.28	304708.7	175752.53	261979.42
320539.88	286419.34	436988.75	310873.06	403527.06	339665.8	296821.3	451984.84	233445.17	363183.84	354493.53	250139.38	333102.9	443383.66	395835.5	437159.3	468159.97	306591.66	175339.45	263004.0
319564.5	285303.88	434176.2	310378.1	403277.3	339065.44	295739.34	453276.72	232229.97	364158.06	353867.66	250165.72	333041.9	443660.5	394365.7	436406.47	466558.94	305425.97	172837.55	262678.5
318623.8	285067.6	433642.38	310640.56	403391.53	337851.34	295419.1	452667.5	229488.48	361655.1	357528.5	250859.36	330176.56	443436.22	394244.75	433798.1	465091.78	306147.34	171057.25	262352.75
317895.38	284847.78	433845.38	309997.66	402021.34	337322.8	296028.06	451661.34	230343.38	361113.16	359811.22	250911.38	330824.06	442686.3	394821.78	433967.0	464965.78	306866.94	170738.16	262763.12
317390.88	285109.97	435172.38	309088.03	400636.1	338042.25	296853.66	452284.12	233498.11	365970.5	360569.1	250565.66	335511.56	442436.34	396863.97	437054.38	466968.6	304927.8	171889.62	263444.4
318142.06	285147.44	437251.6	309631.03	401548.88	338656.38	298106.62	451742.3	231642.77	364711.06	359693.44	249284.47	335086.62	442934.62	398585.94	439230.97	471308.12	305273.25	173460.75	262930.12
319371.5	286668.44	439646.97	310234.44	403839.44	340072.62	298588.06	451124.25	232746.97	364957.66	355638.72	250557.14	336208.75	443580.9	400464.72	441811.72	475548.1	306257.28	175205.06	263518.12
321716.12	288196.75	440200.9	310623.5	404542.97	341396.53	298607.72	453407.72	234490.62	366101.9	358699.06	251094.28	333892.78	443966.78	400497.38	445308.4	474828.88	306465.56	177285.6	264136.9
319853.62	285696.8	438736.25	310146.84	402572.44	339502.88	297756.56	451730.97	231972.02	362310.78	359928.6	250255.39	333767.62	442671.97	395779.84	441735.34	470530.06	306875.84	176178.42	263039.72
319626.44	285958.47	436636.2	309858.6	401826.2	339294.28	297061.97	453113.8	233955.27	365060.7	359096.53	250300.39	336713.9	441230.34	396437.22	440125.62	470713.66	305688.97	175800.44	263751.12
318643.44	284990.9	437230.84	309392.7	402169.94	338849.7	297417.84	450810.9	232194.23	365175.72	358195.0	249929.16	336962.06	443538.53	397129.38	440523.12	473452.44	302610.66	175433.02	262965.28
320949.28	287306.97	440126.12	310251.25	405983.38	341014.62	298410.03	451098.56	232594.88	365898.0	361344.1	251274.7	335785.44	444710.97	399167.38	442475.5	475561.34	306403.97	178073.81	264831.94
320816.12	287981.2	437700.97	310094.8	405493.66	339806.7	297855.78	453761.75	234050.77	366179.2	359862.75	251832.72	337890.62	442574.22	397045.62	441308.78	471357.72	305964.88	178874.88	265692.72
319098.66	285959.34	435354.75	310364.3	404027.62	338598.84	297312.66	452788.6	230904.52	362831.28	356554.97	251093.98	337203.53	440602.25	396024.44	437974.7	469617.0	303846.97	176224.4	263748.44
318916.47	285050.6	435628.44	309540.7	403372.25	338699.75	297589.5	449853.3	231399.0	361773.9	354318.9	250273.03	335727.5	439190.1	397173.7	437557.5	470678.5	304657.1	175523.25	262927.16
319236.75	286507.2	435553.0	309327.16	402890.3	339304.44	297421.2	451460.94	233797.62	365462.1	354346.94	250450.45	337239.12	440479.1	399797.44	438923.4	471976.3	304078.25	175473.72	263760.3
320279.56	286274.34	438576.2	309139.16	405365.28	340807.03	299528.7	450492.66	232908.08	366475.66	357757.7	249357.55	339544.78	443347.62	400383.78	442225.16	475828.5	303566.84	175806.1	264212.9
322489.03	287398.8	442016.12	310450.0	408327.16	342062.06	299545.1	451692.2	235051.48	367762.22	360511.0	250832.25	341372.72	445312.66	401132.22	445934.12	478426.72	306984.0	179834.25	265302.84
322587.7	287468.47	441852.5	310722.34	407712.7	341069.25	298425.62	453092.88	236156.38	366473.66	361054.97	251049.75	339576.4	444959.34	398346.44	446566.6	473586.7	307080.28	181112.83	264858.56
321827.66	286498.72	438044.88	309604.8	406149.75	339170.6	297234.94	453735.72	234464.25	363197.88	359229.28	250084.3	338798.16	444391.3	394805.6	441687.97	467184.38	307098.34	178497.5	263067.6
320952.22	286802.28	433192.22	310387.5	402432.38	338006.2	296561.25	452970.4	234141.66	363188.0	356698.97	250750.62	339588.1	441938.4	392932.7	433993.6	460075.28	305446.1	175152.28	263507.4
318835.9	284862.94	431472.62	309027.53	400441.94	337111.44	296447.03	453320.7	227135.27	360081.38	354363.0	248927.61	336589.9	439921.03	391997.56	431197.9	459809.28	302161.9	170585.14	260696.23
318961.3	285808.2	432432.38	309608.78	400380.75	338076.4	297122.28	450309.25	230329.2	361759.12	353385.78	249500.6	336948.28	439743.0	394422.1	432094.22	461021.5	304568.53	171710.3	262833.3
318080.2	285316.44	432415.4	308781.75	400802.44	337852.06	297382.94	451389.44	227836.3	363262.12	353812.25	248436.78	336810.94	440169.66	395586.0	434122.3	463806.78	300133.53	170435.02	261829.88
319773.38	286096.25	435796.7	309703.1	403517.44	339430.03	298588.3	450141.66	231075.3	364837.2	356405.6	248995.7	338106.88	441884.94	398431.16	438312.06	468918.75	303838.3	172550.4	263121.94
321016.06	286073.9	438373.06	310483.2	404036.72	340360.1	299340.5	452233.47	232837.27	367078.8	359030.34	249519.2	339316.06	443141.6	399195.0	443035.47	473272.62	305786.88	175935.81	264108.88
321270.06	285199.16	439382.7	311274.12	403469.84	340176.9	298241.34	452154.2	233321.31	364727.06	360623.28	249672.36	336927.8	442969.3	396671.1	444851.8	471967.8	307866.22	178347.1	262997.78
320141.03	284182.5	436606.2	311179.72	400987.72	338792.4	297108.34	452875.22	233068.33	363668.47	358834.12	249484.42	334650.2	442239.28	393838.0	441043.62	466740.34	305760.44	177520.05	262962.03
320045.53	284751.94	435062.6	310791.88	401445.72	338833.97	296796.56	453267.62	231581.6	364935.1	359143.66	249017.31	335272.7	442730.22	394221.8	439272.56	464408.0	304354.1	176536.14	261779.02
318166.44	284985.3	434874.0	311141.7	400538.9	338616.94	297523.88	451547.38	229584.66	361543.28	358456.72	247814.89	334916.9	443247.84	393937.1	435611.97	463860.78	304770.97	173663.94	263228.56
319362.72	283839.8	433725.22	309865.56	400027.03	337418.0	296906.97	450237.34	229770.08	363603.12	355464.12	248223.8	335607.16	443305.25	394091.12	434044.16	465447.4	303542.66	173928.34	261753.72
321629.94	285286.22	437808.66	310355.47	403939.56	339595.38	297378.16	453436.22	230739.6	368223.84	354858.03	249728.33	337255.38	444701.56	398753.9	440617.4	468721.8	302367.34	174839.14	262433.03
321697.12	285167.94	440117.06	310663.34	405055.1	340079.9	299565.8	451289.8	232961.98	362738.94	352817.44	249710.6	333442.4	442994.03	397099.16	438202.06	469297.75	307716.5	177871.53	263631.72
319498.06	284482.38	437189.28	311038.28	403742.8	338183.06	297807.1	451966.5	233425.89	365425.2	352296.9	248891.19	335800.4	442680.88	395178.44	440039.16	467761.34	305327.53	177032.23	261864.36
318203.0	284934.12	435971.84	310863.9	403036.84	338075.44	297504.44	451093.22	231640.27	361950.28	351114.3	248992.05	333950.34	443150.1	394605.56	438731.38	467202.7	306504.12	175589.78	262356.1
320110.2	284823.38	435821.66	310295.47	402863.84	337911.1	296941.0	453218.44	229477.06	362128.66	353793.5	249765.56	331733.9	442725.38	394995.7	438452.94	466385.25	304802.1	175153.38	261170.47
318663.5	285432.44	436039.28	310062.66	402076.1	338270.1	297182.3	451225.1	229892.1	362535.2	354762.28	249352.23	332246.84	442686.53	395350.12	437085.34	468184.84	304500.5	174712.52	262083.66
