IC01	IC02	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC10	IC11	IC12	IC13	IC14	IC15	IC16	IC17	IC18	IC19	IC20
303827.06	318662.12	433738.7	320661.06	394152.44	342339.1	304759.88	428020.6	252426.7	287482.2	314449.0	214534.31	299823.22	400197.62	405188.78	385016.62	431219.34	288851.22	107965.16	286100.78
303632.34	314397.88	432385.84	321357.9	394862.06	341308.8	302060.8	422637.53	249402.56	291554.44	318070.53	210863.92	304173.56	400204.8	402649.47	385845.72	432478.97	285251.62	109155.06	286498.28
304783.3	314056.2	435018.1	322886.25	401430.25	344530.4	305029.75	425297.12	251531.2	286091.1	319270.56	210525.97	302719.56	402783.66	405511.94	386597.22	436962.75	293902.3	106554.734	285243.22
301687.78	313407.88	430739.12	323021.6	396291.97	340891.16	301886.12	422214.62	249815.81	286390.78	317904.1	212832.31	300122.34	401082.88	402644.66	385949.75	433087.4	286377.75	104060.11	285224.5
303853.38	317257.94	432976.06	321729.1	393357.8	340946.25	301295.88	424585.97	259260.69	296426.3	318898.1	213341.02	304349.38	400242.4	403272.97	387004.6	432401.34	288158.84	106783.25	291797.75
303084.75	313950.12	431303.56	322153.66	394176.78	341039.06	303096.44	424672.7	248782.23	286081.8	317249.38	210688.4	301650.5	399555.72	402718.56	385742.62	432116.25	289209.28	105924.61	284635.03
303382.06	309483.12	431725.62	317669.0	392099.47	342400.06	302614.7	425073.56	260664.62	296015.9	319514.03	217621.78	306861.3	401338.88	402358.44	385999.3	433042.75	290687.75	108913.95	285753.7
300848.2	314177.84	432923.25	320977.94	391826.62	340890.3	305527.75	423356.06	255804.3	292033.2	318073.72	211634.33	305236.94	401095.56	403029.84	386838.84	433540.56	285240.22	106837.43	284014.97
300766.6	312825.6	432222.56	320948.25	393059.25	338591.03	304501.1	426867.66	247020.7	287777.03	317265.72	209147.0	303623.44	400861.94	404386.0	385629.84	434571.28	285917.0	104933.414	279401.72
302259.7	317435.12	432561.94	322116.56	389733.12	341053.28	300634.84	422413.16	253467.2	289543.06	314445.1	213791.14	299661.12	399931.4	403332.8	383526.62	426373.7	287016.94	105411.31	284350.94
298142.16	316621.9	433682.88	322714.7	392066.94	342331.34	306124.62	426011.38	248940.8	278764.7	319277.03	214217.94	294206.53	401656.7	404567.44	387037.44	432809.1	292461.34	100416.414	287265.9
299405.4	315258.97	430370.12	321867.9	392640.4	340966.78	302320.06	426657.4	243660.27	284350.2	317760.4	210058.02	296592.25	397540.38	401339.03	383855.12	429765.75	289141.34	107412.11	285057.34
302270.25	312229.06	427103.1	322438.12	391941.66	339984.66	301090.53	426998.97	246805.62	288785.16	312153.22	211162.22	301712.25	396705.34	400438.7	381528.62	427137.66	286001.62	105515.85	284064.56
302624.0	309499.3	426708.53	320872.3	393669.62	339876.25	301133.47	421878.3	248638.52	291501.34	316282.44	209915.06	302684.94	397979.4	398627.75	383024.7	429906.84	284838.56	105934.266	282682.2
