IC01	IC02	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC10	IC11	IC12	IC13	IC14	IC15	IC16	IC17	IC18	IC19	IC20
278322.4	296498.7	451310.12	320210.53	402026.22	331147.5	311910.28	490032.3	306312.56	350525.0	339630.12	209471.48	332776.8	428029.56	394403.2	393915.2	450219.8	315538.53	124943.3	260235.42
279472.9	295189.16	451516.88	319685.0	401396.1	331003.22	311256.0	489788.97	307235.4	351650.38	340946.56	210248.61	332517.5	427663.84	394079.94	392881.06	450621.66	316643.5	126402.14	259668.06
279177.66	294227.75	450886.22	319044.72	401582.1	329682.88	309974.56	488819.16	305669.4	352376.44	339867.3	209817.39	334985.0	426731.03	394617.7	393190.3	451077.62	313062.84	126165.46	259150.69
278631.84	295642.75	450776.28	319582.8	401115.12	329671.72	310280.16	488890.66	303859.78	352308.72	340615.47	209738.92	332451.28	427636.78	394566.75	393553.1	451017.72	312849.44	124976.44	259992.45
276348.47	295275.47	451583.1	320035.75	400841.88	328544.78	310595.62	488395.84	303146.62	350726.25	338419.72	210136.55	334290.75	426951.72	395468.97	393092.72	449742.75	313579.53	123769.09	259860.55
276851.3	296452.34	451988.53	320460.5	401271.34	329062.56	311128.34	488620.53	303516.4	349949.5	340804.97	210399.52	329695.97	427980.4	395957.97	393056.6	450274.8	313827.7	122317.266	259601.75
277706.94	296021.06	451652.56	320493.84	401571.06	329950.44	310871.0	488039.22	305948.4	350024.84	338575.1	210801.92	332748.44	427993.78	395146.88	392385.22	449685.4	315921.34	123811.63	260491.02
277349.56	294316.66	450580.12	318851.75	400545.53	329830.88	311077.72	489232.53	306571.12	353012.06	338779.4	211470.39	333372.66	425897.2	394289.56	392743.4	449880.16	312900.12	127033.92	260884.67
275504.22	294118.12	451335.5	318918.6	400556.38	328310.62	310229.06	488415.0	303692.6	351189.44	340684.66	210852.56	331467.22	426471.1	395137.5	391708.3	450092.8	313489.6	124197.11	260744.53
276016.8	294431.44	452285.7	319223.3	402132.1	328974.9	310949.38	487019.66	304429.56	350756.2	337995.62	211037.66	332403.16	426191.53	396487.47	391861.53	450176.66	313274.3	123204.266	261393.7
277508.72	295562.22	451916.47	318852.66	402505.56	330513.7	310946.72	487272.84	305783.4	352876.38	339482.34	211793.94	333184.2	427160.75	395191.4	392971.16	450515.2	312985.5	124256.28	261583.12
278568.78	296568.56	449356.66	319442.47	401963.84	331530.34	309902.6	488819.53	305351.12	353419.28	340863.5	211676.14	332708.44	428323.9	393000.7	391921.78	449674.44	313610.97	123830.39	262728.94
278632.53	295681.47	448377.7	319325.8	403902.7	332145.84	310211.53	488460.56	303231.38	353465.25	339014.3	210782.86	335971.66	427098.22	392471.25	393028.0	449556.1	313239.22	122357.766	263181.78
278002.62	297865.9	449142.8	320860.97	404070.94	332313.88	310851.88	489268.66	303825.0	351872.9	341461.5	211590.86	331043.84	428699.3	393354.0	393230.94	450152.47	315284.38	121989.94	264787.97
276779.56	296619.25	449932.56	320393.6	402297.53	330986.62	309711.7	487799.47	306010.28	350848.56	340005.47	211712.89	330411.2	427917.22	393662.34	393436.44	449568.66	315945.2	122757.17	263749.06
276175.16	294157.4	447846.6	319190.16	399661.75	329407.94	309881.5	488750.56	305351.2	353233.5	337586.12	211675.5	332689.9	426487.8	393085.75	392681.72	449573.7	313701.5	124173.08	262701.12
275833.53	294153.8	448238.8	318845.38	399137.78	329223.97	310491.44	488946.06	302596.47	351382.03	339460.66	210460.86	332739.3	426848.75	393114.22	392614.4	450213.88	312327.88	123729.04	260663.97
275646.4	294819.66	450495.6	319300.28	398753.88	329530.06	311963.8	487715.8	302916.22	349826.9	341252.4	210555.78	331545.06	426869.7	394724.44	391353.72	450596.75	314425.16	123450.72	259694.03
276228.22	293291.9	451380.22	318809.06	399373.06	329575.8	312125.56	486726.06	305442.22	351757.25	339302.0	211828.31	334226.97	426932.0	397671.8	392131.88	451952.47	314096.3	124573.95	258871.12
278000.94	294100.25	452958.94	319207.03	400918.12	330139.0	313230.7	488963.6	305838.97	353917.25	339518.0	210611.92	334020.94	427159.06	398698.78	396112.75	454488.38	311537.6	126620.73	258362.61
277557.56	294693.6	456369.84	319449.56	401404.94	329937.22	313627.5	488370.2	306993.44	352177.44	340981.22	210547.75	333234.44	427913.56	398802.53	395467.47	453619.44	313737.53	126626.83	259083.0
277764.34	295293.72	454103.22	319240.25	402362.38	330134.66	311346.3	488217.4	307891.56	351801.56	342434.25	210976.69	331968.88	427860.0	394679.8	393554.84	450451.66	314752.12	125629.09	259673.62
277871.97	294917.22	449227.53	318486.62	402145.47	329731.16	310525.8	489410.4	306225.84	352348.1	338476.6	210871.58	333876.1	427025.34	393751.06	393439.88	449431.75	313170.47	125408.23	259825.0
278399.44	295895.75	447458.75	319055.62	402371.25	330639.3	310626.7	489753.72	304230.56	352192.9	340205.22	211196.1	333047.7	427639.47	392903.75	393614.38	449537.28	313073.66	123506.836	261327.03
278529.94	296907.56	447818.88	319559.56	401972.34	331124.16	308998.4	488408.6	302506.8	350113.97	338864.16	211305.5	333074.5	427719.4	392762.9	391984.88	448121.75	313520.16	122701.17	262314.34
279116.53	297893.56	447479.62	320319.97	402461.84	331588.9	311016.62	488690.3	303695.3	350144.44	339580.94	211080.67	331618.75	427603.88	392873.25	392001.88	447875.56	314034.16	122894.73	261946.67
279250.47	297240.56	449248.44	319881.5	401025.94	331396.7	311201.25	488471.78	305089.38	350834.9	341219.72	210746.4	332391.94	427806.44	393500.4	393002.4	448812.28	315125.5	123732.36	262281.66
279157.2	295619.62	448170.75	319245.34	400829.62	330972.7	308654.53	489193.28	304834.3	352177.9	338461.16	211579.8	333216.94	427754.56	393216.62	392866.47	448708.84	313609.97	123421.4	262374.22
277513.88	294114.97	447523.66	319057.22	401180.9	329769.84	309491.0	489030.22	302283.03	351135.2	338609.34	211120.66	332045.8	426247.06	391915.94	392445.2	448267.9	312033.72	122839.86	262337.5
275501.47	294232.62	448689.0	319914.38	400106.84	329268.97	309600.72	487760.3	302166.28	350128.62	339871.25	210975.47	332627.8	425351.75	391967.78	391502.53	447968.38	313256.62	121958.09	262750.75
275440.97	292683.84	448755.38	318786.66	398894.0	329024.4	309475.97	486953.78	304081.34	352464.34	340901.56	211982.38	332106.8	426897.38	392454.56	392955.66	450210.7	314508.53	121427.69	262223.6
276651.44	292113.9	450276.78	318404.38	399612.66	329260.4	309499.94	487803.94	302728.25	352122.66	338202.8	211089.4	333369.66	426690.22	394332.88	394785.34	452454.25	313125.5	120951.766	261622.1
276382.03	294040.97	452019.53	319072.47	399748.47	328681.12	310745.56	487348.84	304912.72	351371.25	338736.66	211195.83	332148.88	425968.44	395320.1	394128.34	451771.3	312491.22	122283.266	261690.61
277783.12	295078.5	452254.62	320038.12	400657.72	330141.06	312009.0	487889.9	305790.2	352706.66	341309.4	212078.66	332016.38	428726.3	396472.66	395340.25	455042.6	314997.72	124518.86	260893.56
279598.12	296268.78	451625.6	319531.8	403785.94	332050.8	310482.06	488116.2	306447.7	352372.03	340556.1	211519.5	333445.9	429169.8	395086.25	395384.72	455279.22	314045.88	126704.68	260703.53
279962.34	297001.6	449070.47	320070.8	403934.16	331823.12	310254.47	488637.7	305772.3	350940.06	337761.6	210612.22	332851.7	426765.3	391695.38	392647.1	449797.66	314297.78	126104.016	261174.3
280245.44	297151.9	447642.56	319844.88	403026.47	331623.8	310448.6	487992.78	305527.12	351879.4	340283.72	210643.17	332572.34	427819.34	393005.94	392395.88	449747.66	314205.0	125164.46	262879.1
279601.4	295728.5	448192.56	319685.6	401736.75	331274.47	309569.06	488649.84	304224.1	352679.1	338593.66	210562.3	335719.7	427861.88	393485.2	392971.25	450322.72	313590.84	125458.516	262194.22
279202.16	296217.28	448974.25	319736.75	401086.53	331074.16	310755.75	489003.34	304222.34	352087.1	339052.44	210069.06	333232.38	427329.53	392985.84	393418.5	449180.7	312317.0	125002.43	261650.58
278369.25	295632.0	449460.75	320082.03	400451.53	329303.0	309667.94	488316.38	303370.4	351141.25	338475.9	211506.81	334251.4	428625.56	393375.34	392906.2	449060.9	315454.28	122188.89	261616.64
279094.12	296432.56	449639.38	319172.5	401935.72	330100.38	309761.53	488829.78	304288.62	353968.72	340427.22	211161.34	333195.3	429934.06	395651.3	395479.97	451699.66	314570.16	121913.86	263266.7
279343.62	297291.16	451295.62	319785.3	400169.3	330339.94	310525.62	489383.0	305293.2	352145.72	339681.03	210364.58	332879.16	428468.03	396461.4	395201.25	450483.0	314182.03	123034.7	262981.8
277455.1	295461.62	451551.16	318710.72	400018.88	329269.84	310804.0	488369.94	305327.03	350137.7	340075.16	209808.69	331997.7	427412.25	394881.84	393244.12	449158.78	314799.22	122412.305	260912.62
276947.8	295140.4	450523.78	318593.75	400642.03	329121.2	311059.56	487593.25	304967.9	350733.16	339066.9	209591.06	332717.03	426548.62	394486.75	392964.0	449367.9	314088.6	122608.25	259830.42
278039.03	295722.16	451126.8	318169.2	400255.16	330230.66	310418.16	488508.56	305623.62	353424.16	339943.2	210323.67	333003.0	429016.12	396246.84	394390.4	451011.34	314141.3	123483.42	261221.36
278215.28	296559.3	452127.06	318810.9	402871.06	331063.06	311781.47	489189.53	305096.7	352876.94	341097.16	209652.6	334330.62	427319.97	395683.56	394520.8	450810.28	313103.9	124774.75	261504.45
278336.62	297402.9	453083.66	319318.06	403160.06	332300.4	311731.1	489081.03	305123.78	350918.88	340280.9	210212.17	331966.25	428338.78	395726.6	393362.66	450832.94	315922.88	125368.2	262141.0
278383.75	296526.97	452038.1	319452.3	402558.84	332705.6	313828.1	488524.03	306916.4	350686.16	338744.3	210149.45	331938.44	426999.03	394762.28	393693.0	449398.97	316063.03	126676.36	260863.64
278383.3	296474.6	450795.0	318880.97	402550.75	332788.7	312616.97	488351.62	307730.22	352689.53	340991.53	210812.38	332096.38	427846.4	394488.6	394441.44	450781.88	315912.3	126374.8	261325.06
278714.34	295498.06	451194.62	318485.38	403127.56	332240.88	311109.22	489689.53	306269.8	353540.62	340375.0	210446.69	337164.5	427716.6	394529.3	395408.03	451503.88	314741.3	126649.11	262037.12
