IC01	IC02	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC10	IC11	IC12	IC13	IC14	IC15	IC16	IC17	IC18	IC19	IC20
295984.94	340427.8	443216.34	327483.44	396698.28	340956.0	292202.53	422941.0	268449.16	340887.4	328408.22	262145.56	344834.38	437053.2	379497.66	381078.4	435040.1	293341.56	148540.33	301827.2
296873.3	339436.88	445140.03	326836.5	396668.25	341131.7	292134.66	420956.8	269603.0	340266.75	330102.5	262084.1	343224.72	437383.47	378597.34	379788.16	434736.2	294717.0	150391.44	302078.34
298424.7	339601.62	446041.66	326754.88	397059.3	341862.25	291473.47	422593.2	273850.47	345076.78	325719.97	262231.34	344938.22	437874.4	379703.6	380621.56	434853.78	294041.6	151534.42	303514.53
299175.25	343189.4	447447.3	328299.78	398541.4	344274.44	292653.3	421382.28	271846.53	339994.47	324894.28	261691.84	342463.66	438870.22	380711.12	382384.97	436723.2	295842.22	151054.7	307823.66
301471.66	345908.2	449459.28	328490.03	401335.38	344424.03	291734.34	423492.78	272988.22	344199.8	332505.16	265091.66	344287.9	440004.28	384739.3	385537.25	439468.53	296676.84	155518.5	307573.1
299400.06	343670.94	450220.7	327883.97	399238.8	344001.66	290231.7	421822.2	275374.03	342809.8	328599.5	265701.3	344891.88	439094.56	383211.56	383071.88	436880.4	297780.3	155108.06	306773.9
298095.97	342999.06	449491.34	327195.56	398155.47	342980.7	291036.94	421330.8	276039.25	342135.5	329105.56	264901.22	344692.66	437421.38	379970.75	382023.7	435141.12	295404.8	153369.6	305987.84
296818.25	340836.25	446435.62	326670.25	396212.6	341281.94	289599.3	421100.12	272395.75	342075.0	326566.47	264660.38	345657.4	437855.44	379414.1	380684.1	435204.22	294060.25	151203.5	304338.7
296695.72	342243.72	445791.44	327143.62	396001.84	341065.56	290476.88	421826.03	271974.06	341769.5	328777.3	264719.94	342333.47	438378.94	378927.75	380546.44	434619.88	294394.44	149920.75	305438.8
298762.12	342980.25	446670.34	327542.4	399718.6	342701.94	290380.53	421581.72	271982.66	342533.44	328993.6	264669.7	344984.0	437890.16	379744.44	381677.4	435693.4	295777.0	150961.39	306370.8
300135.62	342463.47	446306.75	327658.75	399380.84	343820.9	290709.22	421716.44	273611.03	342618.28	329722.28	264788.0	343395.62	439709.06	379137.75	381385.72	436545.6	296459.5	153401.47	305654.4
299092.62	344514.34	447567.66	327718.2	399420.4	344826.2	292045.4	421787.0	273393.6	342255.28	330970.47	266518.94	342285.53	440529.56	380632.03	383322.44	436159.5	296598.06	153285.14	306536.03
301323.66	344090.44	449086.62	327494.28	401615.53	344665.5	291059.8	423250.0	273230.9	342309.12	332717.16	264562.34	342859.28	441177.3	383661.5	384990.25	439292.25	296889.3	155191.81	306369.56
298742.06	343575.78	449711.06	327264.06	398111.47	342403.44	291136.28	423481.47	275510.78	342569.38	331638.7	263262.06	345763.44	439244.5	383461.84	384883.3	436742.84	295851.2	155232.81	304898.12
296636.3	340737.12	448149.78	326779.56	396606.94	340033.56	290359.22	421357.3	275066.28	341235.1	327507.3	262690.06	345654.5	438015.47	381164.0	381305.12	434637.7	295245.16	152382.33	302846.78
297038.97	341185.75	446973.94	326536.97	397798.8	340726.56	290758.84	422701.56	272657.94	342851.47	331659.8	262479.5	344521.44	438482.97	380689.62	382655.66	436021.3	294042.78	150344.12	303296.2
296992.94	339965.16	447154.7	327026.34	397953.44	340939.97	289711.2	421656.94	272062.0	340932.6	326036.1	261772.1	345026.3	436427.38	378782.97	380520.8	434358.44	292365.1	151973.44	304963.22
