IC01	IC02	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC10	IC11	IC12	IC13	IC14	IC15	IC16	IC17	IC18	IC19	IC20
296401.8	328788.56	439702.38	329886.8	395972.62	347340.8	303632.4	426015.8	226416.17	278769.5	357601.5	248428.88	264823.9	433842.56	405701.34	397105.84	447568.2	283876.8	137662.45	276417.78
296771.78	328376.38	441034.97	329262.78	394488.6	347085.72	302988.25	425613.5	227651.19	280033.22	357881.1	248502.05	264380.66	433021.72	405152.0	399853.88	448476.16	283060.34	139547.12	277949.34
296578.12	328125.0	442130.06	329702.62	394984.66	347080.88	302992.16	425403.5	227027.02	277367.03	358412.53	247282.62	261719.7	433029.03	405059.66	400893.47	448736.16	281490.1	139176.88	276876.03
296800.2	329337.16	442536.22	330257.66	394968.47	347741.72	302806.06	424473.34	227906.34	277999.88	357422.12	248167.72	261206.2	433939.12	406197.7	401608.72	450844.12	282002.3	138935.17	277665.53
298007.47	328391.2	442112.53	328891.8	395244.34	348263.56	302064.7	424302.03	229650.3	280507.9	357775.2	247298.14	260291.14	433358.1	405394.16	403502.38	451229.6	280807.53	141019.42	279676.2
297812.62	328272.22	441108.75	329613.25	396689.3	347971.34	302714.25	423484.56	227248.92	276859.56	357300.78	247029.86	259000.92	433744.2	404402.3	403498.38	449212.03	281502.34	140818.67	278039.2
298334.25	327352.84	440221.7	328785.34	395908.03	348948.28	303180.62	423122.78	229948.0	278970.2	357926.44	247303.22	260864.47	432920.94	403640.06	402316.5	446442.88	279820.97	141338.9	279471.3
298075.9	327417.4	440159.1	329014.12	395360.62	349295.94	302906.25	423249.72	229086.38	279171.53	357252.38	247105.98	259831.11	433692.88	404299.1	400593.56	445154.3	278758.88	141509.0	279778.34
297337.0	328591.94	441413.72	330050.6	397707.5	349220.94	303313.3	423024.9	227777.66	277323.7	354383.9	246595.28	257952.69	433677.62	405022.8	399426.1	447629.2	280832.6	140647.86	278483.0
297423.66	328123.03	442022.03	329003.06	397298.44	349974.7	302881.62	423889.12	230267.27	281974.8	354538.2	248475.12	259388.56	433357.56	404736.7	401775.9	446840.66	280086.88	142706.1	280706.47
297595.38	328509.5	442894.97	330157.84	397047.12	350560.3	303529.22	423852.9	228481.94	278667.0	352626.1	248479.77	257853.42	432886.94	404786.88	400547.7	445096.12	281978.2	142775.98	278939.0
297585.72	328455.22	442983.94	329973.38	395951.47	350776.75	303913.72	423077.72	230763.38	280259.12	352328.1	248766.86	259609.23	432089.72	405022.2	399821.75	445952.8	282609.47	142256.44	278897.4
297710.1	327103.3	443300.56	328860.03	395977.5	350756.53	303896.9	424059.34	230033.7	281237.7	353137.3	248733.84	260437.23	432162.06	405379.2	400528.06	447407.0	280875.0	141969.78	279403.62
297897.9	327561.4	443406.34	329012.66	396077.0	350394.75	303700.38	423208.7	229721.98	278865.94	354303.28	248576.23	258261.81	432872.5	405265.38	401447.16	449788.7	281305.28	142050.72	279347.88
297344.53	328782.97	444045.12	330351.88	397276.66	349048.7	303368.6	423567.78	230634.02	278539.88	355499.78	249196.86	257804.28	433464.16	406248.44	400841.66	452188.62	283418.94	141512.67	278881.88
296850.88	327646.22	443503.28	328570.2	395871.1	348174.06	301416.72	424572.62	230445.03	279386.06	357811.03	249569.34	258111.28	433822.03	406306.62	401649.4	452514.53	281652.44	141057.38	280328.12
296800.16	328100.97	443499.6	330506.9	396819.12	348002.4	301506.8	423722.34	229409.61	277325.72	358060.03	249389.78	257819.5	434140.47	407013.5	400951.16	453532.5	283203.97	139352.05	278547.94
297687.4	328257.2	443951.75	329240.94	397401.28	348728.8	301553.38	424404.88	231648.17	281208.06	358513.22	249549.69	260588.8	435422.94	408323.8	403120.94	454948.03	282303.44	140753.89	280492.78
297814.53	329333.9	445232.53	329519.38	399217.12	349047.44	301760.84	425182.94	230098.27	278089.28	356629.8	248146.81	259171.27	434539.3	408812.7	404491.3	455208.66	282270.22	141101.3	280977.94
298453.38	331700.25	446737.7	331096.22	400153.78	349137.3	302935.3	424746.56	232222.52	279962.88	356260.0	249589.56	261226.45	434323.94	407447.97	406442.6	454738.84	284938.4	142423.1	280718.8
298866.16	329228.88	444895.97	329888.28	398482.97	349383.7	302000.0	426294.3	232668.36	281467.38	358188.12	250387.83	262418.16	433938.03	404683.2	404927.2	450718.4	284078.2	144053.84	281008.12
297787.56	329184.6	441775.56	330576.75	395914.38	348836.94	301033.53	425987.84	229495.31	278277.34	358156.53	250406.5	258223.83	432447.5	404271.4	401449.34	446844.3	283651.88	143011.67	279948.75
297130.47	329159.88	441972.28	330632.56	395519.25	348200.4	300993.3	424309.06	230080.17	279306.16	356589.38	250087.23	259924.33	432118.78	404725.8	399155.66	448531.38	283294.2	141697.73	278223.6
297332.12	327371.88	441593.9	329163.62	395154.34	348619.28	300281.34	424427.16	228735.5	279461.3	356101.2	249987.61	259848.58	432422.47	405688.16	400029.9	449712.34	280984.06	141338.31	279138.7
297143.25	327921.1	442986.75	330467.44	395862.6	348584.88	301607.03	423455.22	227702.25	277719.25	355214.97	249442.61	260576.23	432442.47	405568.34	399325.6	450739.62	282737.03	140314.16	276714.38
298011.4	328540.56	442487.12	329991.5	394497.22	349657.16	300908.34	424287.47	229773.9	281068.3	355837.25	250138.92	262080.33	432245.3	405901.1	399093.47	449501.75	281952.84	140627.17	278980.44
298043.8	329068.25	442074.38	330332.06	394138.94	350437.94	301426.8	425173.75	229435.72	278387.25	354684.22	248817.77	258728.81	431993.62	406480.56	397061.3	447599.2	281799.78	139686.12	278382.28
299049.88	330267.47	443778.75	330781.28	396374.88	351174.88	302747.56	424702.03	229681.64	278961.97	355952.4	249258.8	261507.02	434015.66	407044.06	398310.94	451008.78	283504.34	140570.61	278686.06
299408.62	329121.06	443720.62	330138.4	396379.66	351198.44	301467.25	425136.2	232103.34	281747.12	355778.2	248698.38	263339.28	433766.78	404849.12	399866.53	452414.66	283158.62	144479.23	280614.72
