IC01	IC02	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC10	IC11	IC12	IC13	IC14	IC15	IC16	IC17	IC18	IC19	IC20
301747.72	342268.75	407990.7	336494.28	370719.06	351294.78	276256.5	465624.28	119882.57	347977.5	350621.44	279883.5	335516.38	437957.25	402861.0	401717.6	433800.28	304514.94	146779.6	327123.84
301753.94	343159.28	409229.9	336785.03	370390.22	352514.0	276851.7	466009.25	119719.945	348422.5	353670.2	280446.9	334472.62	439423.9	404012.44	402630.78	434585.88	306481.88	147241.94	328541.2
300451.78	341041.06	408303.4	336806.88	370367.8	350977.53	275919.72	465446.47	119906.54	347982.94	349224.28	279729.78	334754.72	437053.4	403138.7	401783.06	433229.47	305092.9	145981.14	328464.9
300420.8	342837.84	408635.12	337151.5	369315.56	352272.5	276654.0	465841.47	119517.88	347600.78	353061.1	280200.1	334230.72	438765.12	403308.88	401236.38	433211.94	305434.44	146085.62	329553.62
298944.78	341376.06	408110.2	336338.78	369439.28	351121.6	276077.88	465276.34	119523.92	347506.44	350317.22	279703.66	335556.78	437792.94	403222.0	401323.16	433663.16	304867.9	145234.64	328571.4
300056.88	342551.9	409355.28	336462.94	371332.28	352430.16	276758.94	465436.9	119439.31	347668.9	352202.6	279043.0	332199.47	439047.22	403776.28	401573.12	434476.44	306074.47	146002.56	328963.2
299426.34	342892.44	408303.47	336282.7	372979.56	352035.66	277133.28	465691.38	119436.945	348644.72	351659.6	279821.3	334648.12	438131.34	405633.88	402837.7	435399.66	305832.9	145988.77	329041.25
299788.6	342359.62	409889.06	336490.06	374337.97	350478.16	276355.94	464797.78	119824.24	348373.38	349946.9	279340.62	335842.25	439175.28	405150.25	401551.2	435515.66	307064.6	146645.34	331045.25
301007.75	344622.6	409464.28	337379.66	375723.28	351439.03	277622.06	466316.75	119908.52	348329.8	351217.16	280620.7	335639.47	438660.22	405622.53	402043.5	434536.25	306304.72	146557.72	331005.4
300722.66	342837.12	409451.5	336646.7	372272.47	349803.03	276573.38	464881.72	120065.65	347296.03	348337.72	279585.75	335047.8	438610.06	403610.2	400041.66	432730.06	307328.8	147425.06	328894.66
302327.16	344640.53	408719.0	337136.25	370433.25	351660.78	277826.4	465107.44	119861.61	347969.0	352819.6	280730.03	332934.12	439929.1	405132.44	401504.22	432326.88	306709.12	146292.84	327736.72
303294.8	343626.78	410906.38	336701.12	370183.4	351584.5	276972.44	465055.8	120890.336	347395.22	349254.16	280087.56	334219.78	438531.97	404876.12	400581.72	432042.12	306257.66	147780.31	328356.5
301942.06	342888.0	408867.06	336788.94	370240.8	350896.34	277356.66	465943.0	119976.875	347634.66	351687.38	280332.34	332445.16	438466.75	403653.56	401543.84	432874.78	305661.5	145453.34	327640.56
302002.22	341553.66	409765.62	336882.97	370979.6	351042.47	276097.56	465311.7	119940.5	346725.06	349141.4	280041.3	333718.53	437394.97	402733.75	399939.44	432458.88	305093.53	146590.34	329276.47
299953.1	341103.72	407693.22	337341.22	372615.56	349242.84	276875.5	465613.44	118979.04	348097.22	352321.53	280925.56	333575.44	438571.28	402508.38	400063.12	432805.62	304336.4	145441.03	328688.7
298658.88	341679.25	408783.9	337225.06	373722.7	348840.56	276060.28	464958.72	119106.305	347463.2	349682.53	280537.12	336007.03	437894.6	402897.62	399746.25	433996.03	305434.25	146971.66	330330.22
299037.5	342897.62	409023.88	337653.16	374924.56	350498.47	277539.72	466047.16	118847.48	348389.66	352629.7	281293.97	332858.66	440129.3	403805.5	401529.16	435222.03	306300.22	146776.34	330172.22
299526.06	341556.1	408819.75	336710.38	375105.22	349459.88	276606.1	465730.5	119977.35	347832.56	349747.66	279780.97	334315.38	437717.16	402163.84	401474.9	433899.75	306402.9	147989.23	330901.0
300165.25	342299.4	408586.78	337451.25	373928.6	350845.97	276785.75	466005.12	119349.58	348377.75	352442.8	280559.12	334941.4	437148.88	401761.03	400012.44	432851.7	306187.66	148197.22	331548.1
298549.25	340045.66	407423.8	336901.78	371644.28	349173.2	275571.4	464385.56	118912.24	347998.38	348863.75	279857.97	336075.75	436860.1	401336.22	400755.5	432034.25	304024.88	147213.98	330420.2
299972.28	342953.56	408720.22	337442.66	373075.34	352346.3	276825.06	464537.94	118873.46	349083.47	348949.88	281489.2	335615.44	439188.97	403514.1	403740.78	435356.25	306916.72	147809.89	332426.5
302655.53	344011.1	410345.06	337924.22	376951.2	353313.72	277559.66	466524.03	119587.86	348788.53	352027.88	280731.16	336451.06	438475.5	403664.53	404482.38	436518.62	305613.1	150320.48	331139.62
301671.28	343575.53	409442.62	337730.84	373312.8	351872.2	277206.78	466236.16	120811.234	348052.12	352583.16	280410.4	332667.62	438247.84	401233.56	401597.03	434138.47	307314.16	151971.11	330390.22
300430.28	342475.75	408146.72	337683.47	373728.94	349990.28	277304.2	465487.38	119764.13	347927.34	351323.9	280582.3	333828.94	437158.88	401748.8	401317.72	434135.16	304752.5	149249.5	328755.94
300050.25	341480.16	408140.47	336839.2	373711.1	350528.12	276094.53	465217.7	120020.71	347876.75	350041.53	280411.75	335211.3	438564.72	401384.56	400919.94	433929.62	306637.44	148943.28	330741.8
299601.03	342984.6	408258.62	337499.25	373744.2	350638.56	277315.28	465985.4	119187.195	348088.16	354521.8	281031.12	333495.62	439467.6	402733.25	402088.16	434813.6	306257.9	147983.56	329835.62
300039.44	341735.84	408403.12	337547.56	372966.8	349730.44	275478.78	465951.25	120022.766	347657.84	351043.1	280785.84	335974.47	437669.66	401195.75	400363.53	434351.06	306454.72	148686.53	329695.88
299618.5	341810.12	407257.97	337654.7	372608.06	350817.84	275603.94	465762.78	119233.16	347139.03	350555.72	280791.88	332724.2	439812.2	401340.03	400746.1	434716.9	307146.4	146994.12	327748.0
300972.72	341704.94	407765.56	337171.2	373267.75	350535.84	276526.62	466309.94	119871.16	348065.7	350783.38	280301.44	335069.53	437376.28	400983.4	400538.56	434581.6	306157.47	149535.28	326952.1
299568.94	341362.78	407586.34	337160.06	370704.0	350119.75	275636.56	465617.44	119322.02	346625.84	348215.8	280089.2	336105.2	438074.16	401688.12	400598.3	433958.4	306276.84	147858.72	325642.88
300509.62	343491.1	407737.2	337195.16	370474.34	350550.4	276641.72	466510.06	119834.24	347519.8	351294.84	279804.25	333033.25	437851.8	401583.72	399916.7	432755.78	305621.72	146294.78	326785.2
299719.12	342879.4	407450.56	337479.4	370581.16	350984.0	276869.1	465776.84	119176.63	347091.66	349988.3	279578.25	334978.34	437363.53	402496.72	400528.12	432343.25	304702.56	144678.48	325263.66
299896.7	342709.56	408748.06	336906.44	366809.4	351931.44	276178.6	465837.2	119547.19	345993.3	349008.9	279199.6	333418.62	438200.3	402540.7	399569.03	431127.66	306628.88	145433.3	325737.03
298768.8	341654.9	407236.4	336662.94	366324.34	350770.66	276978.25	465714.66	119247.234	346494.84	350554.38	279060.94	332184.2	437413.44	402740.9	399455.75	431519.06	304418.47	143548.92	323679.72
299491.44	341136.7	407705.4	336088.7	366101.06	351260.9	277418.62	465119.75	118873.29	347522.03	349192.53	279132.25	335749.47	436796.3	403081.28	399727.78	431589.1	304750.25	143931.86	324975.5
299149.78	341445.97	407968.44	336442.53	367768.78	352276.34	277114.7	465342.56	118799.91	346660.2	347622.38	280043.44	334351.62	438594.94	403395.78	399977.62	432207.3	305542.72	143269.05	326161.06
300158.56	342411.28	408231.25	337534.03	367314.97	352518.62	277280.12	466323.25	119463.72	347017.1	350864.47	279970.9	333052.72	437029.88	401231.94	399655.8	430996.78	304923.22	145100.84	327733.5
299655.22	339987.1	407242.03	336776.53	367006.6	351315.75	276804.6	466170.8	118943.03	346339.88	347897.84	278674.1	334821.78	435990.22	402412.1	398783.7	431545.47	304652.66	144230.53	324487.44
300934.12	340711.72	407383.4	335733.7	366163.53	349313.88	276845.62	465612.4	118699.93	347292.28	347058.38	279048.7	333660.1	437392.53	403291.62	399793.7	431164.3	304347.7	145409.12	326581.16
300429.66	340472.75	409149.78	335671.2	369704.94	348639.2	277677.88	464317.0	119354.516	347112.66	348643.06	279264.84	333985.7	440222.28	405983.47	400585.6	433473.97	306067.84	144599.5	325485.06
300880.3	343718.94	410689.8	336686.03	371823.03	350009.4	278197.38	465666.9	119798.46	346317.5	350173.4	279250.66	334576.06	438134.56	405925.12	399842.62	431954.97	304687.66	146367.94	328142.16
299433.4	341693.38	408463.7	336187.0	369864.62	348412.12	277682.16	465236.16	119890.17	346392.34	351507.94	279300.44	332365.5	437237.34	402887.22	397086.84	429959.88	304946.97	146841.3	327199.78
299919.22	341016.9	406193.56	336002.8	372428.75	348755.8	277961.12	464458.34	118815.445	347083.75	349871.44	279148.56	335239.34	437707.6	403718.84	398610.78	432471.88	303800.9	144922.06	326165.75
303021.06	342955.22	408119.47	336517.38	373334.1	351894.44	278251.34	464246.3	119042.03	347892.88	350885.44	280061.34	331668.12	438663.16	403521.2	400616.16	433014.8	306469.25	147148.2	329546.56
303243.62	341496.1	407593.88	337026.2	376030.44	351546.03	277474.34	463935.25	119385.97	348694.5	350245.34	279598.6	334466.6	437974.75	402700.94	403683.3	435026.03	304267.34	147431.31	328954.75
304071.9	343483.1	409681.9	337422.97	375601.3	353018.0	277329.12	464370.5	119754.375	348456.75	353533.03	280392.78	334269.6	438773.97	402969.6	403352.84	434753.34	306719.84	149321.44	331723.34
301022.25	340323.88	408234.6	336684.53	373082.44	351056.94	275894.6	464309.44	120122.44	347953.62	348295.2	279731.97	334337.62	437761.62	402941.38	402222.66	433820.72	305241.0	147484.39	328826.12
301107.34	342545.6	409101.12	336904.8	371282.03	352273.7	277787.94	465015.38	119948.51	348293.22	351696.34	280413.5	333353.9	438887.6	403806.06	401644.78	432613.34	305707.94	146729.44	329795.5
300725.53	341757.75	408992.5	336749.44	370513.53	350828.06	276798.16	464739.25	119388.83	348024.4	349907.12	279677.84	335848.5	438268.03	404368.2	402855.4	433731.5	304820.6	146438.75	329321.38
