IC01	IC02	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC10	IC11	IC12	IC13	IC14	IC15	IC16	IC17	IC18	IC19	IC20
294597.12	312285.12	468339.4	337943.12	385181.78	325915.34	296328.53	446240.4	289041.6	307676.94	356151.53	260367.47	341002.44	410541.4	403394.8	386572.28	430852.0	309769.7	129470.016	300661.22
294404.6	311787.34	469948.4	339161.25	386219.5	325510.56	297428.12	444963.22	288998.0	304557.25	353972.4	260581.17	344293.3	408594.78	402241.12	385735.47	429737.03	311150.78	128924.94	302217.88
295931.3	312378.22	467987.03	338166.53	388010.03	326736.56	296207.16	443670.06	290928.3	307890.84	354006.62	262058.6	345613.84	410871.8	402356.6	387513.8	432051.72	313452.38	128756.8	303613.16
296994.3	312492.8	469604.0	338205.7	389112.0	327551.8	296094.56	446238.47	290870.22	310423.94	356321.6	261273.39	343432.0	411222.7	403049.28	389204.44	433913.53	311174.9	130504.73	303082.97
296977.78	312408.03	469035.75	339173.44	386433.22	326253.44	297109.94	444862.78	289765.25	306229.06	357421.34	260707.84	340546.25	410692.4	402777.66	388243.22	431949.34	310976.94	129203.5	302368.5
297252.1	313775.3	469470.22	339392.88	386428.44	325992.28	297308.4	445060.84	293210.53	307663.12	356669.9	261157.88	346636.88	409530.78	404956.3	388614.44	432179.56	313110.6	129514.56	301385.53
297189.8	312740.22	469697.0	338509.47	387650.7	327078.22	296447.7	447029.5	291846.97	310014.8	354851.16	261571.23	345173.72	411440.97	406179.88	388565.5	431703.16	311214.8	129655.72	300743.5
294422.47	311397.97	470733.03	338800.9	386154.0	326491.5	297951.6	444688.78	290765.66	306285.16	355892.1	260217.81	339197.22	409666.47	403090.28	385700.3	429963.56	312655.5	128448.266	302039.22
292450.72	310891.0	468731.75	337320.16	385202.47	327068.7	296107.0	444546.16	292999.4	309202.75	354152.97	261199.81	345975.62	407936.78	403471.88	385472.5	429869.56	311148.72	128386.58	302538.94
292720.94	308979.1	469555.06	337062.84	383331.7	325834.06	297328.9	444380.72	288049.75	306436.62	355646.62	260271.64	339113.66	410330.78	403974.1	386034.88	431087.6	310711.7	126405.7	300023.56
294309.8	310261.66	470887.97	337150.22	382918.12	326520.16	297700.56	443453.9	291412.28	306965.4	354864.22	260531.48	342352.47	407344.38	403329.3	386175.25	430699.38	311577.44	127278.67	302030.38
294128.06	308654.88	472374.25	335929.6	383391.28	327651.1	297622.25	443979.44	292296.12	309167.0	353670.16	259740.75	343192.12	409655.94	404683.0	387248.2	432513.6	311466.5	129633.875	301183.06
293285.16	309401.56	472613.88	336337.3	383809.97	327915.38	297960.3	444185.5	292156.84	308340.28	355231.84	258980.52	342888.12	408622.84	404028.7	389707.9	432210.38	310416.56	130196.92	300521.0
295539.44	311958.16	473541.66	337307.56	385830.78	328612.7	297470.56	444045.62	293616.34	308162.88	354206.6	260128.3	344141.6	410484.2	405357.38	388853.56	432666.94	312854.28	131740.69	302711.06
297626.9	314409.12	472518.66	337819.38	388478.94	329237.56	297936.7	446334.12	293254.56	308971.8	357908.97	260316.88	344249.38	411483.78	406424.22	390892.53	433795.9	311573.12	130813.984	301444.38
296315.84	313112.6	469446.03	336890.2	387262.0	328542.84	295087.8	445074.2	295535.84	308360.44	355300.88	260267.33	344742.12	410193.5	403262.75	386887.28	429841.44	312650.34	131402.12	304665.8
294507.47	312315.84	468031.62	336921.6	386584.97	326525.66	296766.28	445543.9	292610.28	307036.84	354293.12	259695.47	344011.62	409138.03	404486.7	387471.2	429870.7	310569.12	129375.61	302653.75
294097.03	311890.4	466217.84	336694.62	384559.6	325519.34	295954.12	445176.06	292157.3	307142.38	354266.84	259161.36	343888.5	407459.78	401939.28	384208.62	427240.06	311736.28	128702.93	303739.0
293069.47	311317.12	466221.78	335926.12	383931.78	325042.06	296435.22	445033.47	289190.2	305860.16	355580.47	259007.33	339869.25	409508.22	402615.1	384716.25	428517.12	310699.06	127740.6	301491.0
293707.06	311740.44	465132.75	336338.94	381989.06	325187.1	295404.94	444533.97	290694.9	306186.97	352022.12	259319.06	342382.97	407257.1	401323.44	384089.03	426674.94	310162.12	128412.26	302526.0
294634.16	311796.16	465854.9	337269.84	381492.2	325361.84	296539.66	446015.8	287654.56	306753.62	355969.75	259535.0	344714.1	410159.78	402850.2	386402.7	429296.38	311909.38	127149.42	300850.53
295264.34	312379.06	466991.7	337294.3	383263.94	324870.9	295563.78	444914.56	289729.38	306824.4	354717.0	260371.45	341279.84	409708.84	402025.5	385483.7	428791.16	311244.34	127616.03	302778.9
295695.88	312229.44	466378.28	337326.78	383928.03	325795.9	297177.4	445482.47	288761.78	306693.25	353261.44	260267.19	341560.44	409178.88	404137.62	386082.16	429128.94	310868.1	127180.914	301013.56
295465.28	312380.72	468132.44	336829.44	383193.0	326809.3	297672.84	444950.4	290551.75	308618.62	353915.1	260582.31	344311.2	407158.66	402930.22	386112.75	430400.38	310601.4	128776.72	303068.6
294765.8	310255.06	469434.75	336310.3	383951.5	326966.12	296858.4	444553.56	289101.03	307830.12	357706.34	260099.61	344160.22	408591.38	403566.56	387631.28	433155.22	311344.7	128302.16	302715.6
295293.6	310350.25	470122.97	336206.8	382726.2	326970.72	296375.62	443311.53	290118.44	308881.44	356232.84	260469.94	340479.22	409050.94	404702.88	387298.88	432494.3	309888.3	128935.41	303615.72
296130.22	310498.84	471173.16	336568.34	384523.6	327382.3	297871.88	442945.12	290397.16	308801.8	353706.75	260987.66	341932.16	409540.75	406837.12	389425.25	433304.94	310366.3	129122.57	303274.84
297644.22	312602.22	472955.4	337813.34	385891.22	328834.06	298924.9	443821.88	292005.06	308902.94	353211.94	261393.94	344504.3	409084.7	407821.78	390438.78	433029.47	310271.2	131177.83	304493.9
297533.1	312553.62	473035.94	337809.97	386564.97	327780.78	299264.25	443662.94	293124.0	310240.25	354596.47	261805.38	345773.84	407941.4	405871.6	391933.34	432923.53	310850.3	131163.86	304881.1
298114.1	314244.9	474322.38	339454.62	387383.7	329565.75	299475.9	443813.34	294467.22	310405.47	357366.38	263056.72	345850.78	409031.7	407060.22	391346.7	433182.3	311520.62	132262.78	306123.03
296980.1	311798.53	475223.97	338601.7	389696.78	328676.6	298684.22	442628.56	293675.62	311113.97	359520.78	263164.66	345564.8	412015.9	407038.72	392645.47	434747.88	311294.75	131343.77	304183.97
295496.28	313089.8	475077.56	339552.62	387750.97	327360.38	298683.34	443347.4	293510.66	307863.2	359447.3	263073.66	343652.1	411777.62	405418.97	387897.6	432179.44	310479.84	130503.98	304943.2
294232.9	311325.7	472449.4	338770.6	387966.2	326336.9	297455.4	443398.06	291815.56	308921.4	359061.62	263648.12	341390.3	412739.34	405654.03	386504.0	431249.78	310662.8	127595.414	302588.97
294734.9	311431.3	471535.03	338411.34	386573.0	326345.06	297645.16	442374.5	290964.22	307547.44	358167.72	262969.44	340950.44	410575.34	403899.8	384707.25	429563.78	310032.94	128697.92	303090.53
294215.28	310465.75	470911.53	337947.16	385767.5	326031.72	297963.3	442714.5	290139.03	308680.22	357982.38	262671.5	342096.47	410040.66	404424.8	386123.28	430806.56	310171.56	127845.95	302475.7
294861.88	310048.16	471065.22	338540.03	386560.34	326658.06	298458.47	443908.3	289648.06	309013.53	358200.34	261568.14	341368.4	408893.38	405323.0	385932.06	432654.97	309454.7	129483.47	301912.1
295591.34	309789.47	472110.62	338307.8	389063.53	328262.12	298877.06	443129.12	290032.34	310143.34	360862.5	262627.34	340516.12	411615.03	408380.16	388620.3	435577.0	309262.6	129370.84	301554.8
298610.97	313086.72	473190.7	339427.5	390794.84	330784.12	298023.06	443361.34	291985.97	309774.06	357036.6	263338.2	342463.97	413268.28	408143.22	389454.53	435710.75	311075.97	132020.03	304117.38
300924.72	317002.28	472348.12	341250.9	391569.0	331915.56	298150.2	445544.3	293574.06	309514.2	354778.97	264303.8	344521.5	413388.53	409171.47	389949.03	434393.72	312726.1	132639.78	305270.88
299079.28	315369.12	469685.16	339914.44	387324.53	329034.16	297240.53	445083.94	295726.9	309138.12	354359.12	262136.78	348933.1	409781.28	403623.94	387794.56	431123.8	312826.84	131915.84	304633.44
298193.2	314867.72	469949.0	339544.56	388795.25	328147.62	296769.3	445921.94	291220.53	309426.12	359733.66	262690.7	346190.62	412527.72	405441.62	389500.9	433493.97	312997.16	129431.445	303425.56
296726.4	313033.1	468883.62	338964.75	386363.6	325955.38	295595.62	443590.4	294279.38	308348.1	355837.97	261489.77	343207.28	410856.22	401713.4	386297.6	430424.4	312658.1	129932.69	305357.8
295155.66	311389.5	465518.7	338100.4	385652.28	326081.1	295922.34	444816.5	289375.97	306756.47	352552.6	260774.23	340877.44	410234.5	401462.6	385576.1	428806.88	311271.1	126762.78	302211.53
295266.8	311755.03	465811.7	338009.56	383052.72	324903.84	296198.88	444503.3	290519.34	307250.75	352897.56	259954.1	345411.2	408281.7	399779.97	384812.03	428159.94	310775.16	127923.88	302628.22
294682.06	311610.5	466694.78	337983.94	385918.47	325572.94	295614.56	445160.2	287751.9	307236.97	356976.53	260902.12	343598.34	411406.4	403684.88	386720.8	431923.44	312482.22	126353.37	301695.94
293869.44	310873.62	467724.28	337824.9	384157.75	324771.28	295302.34	444550.56	290178.84	306099.78	351525.12	259881.42	341471.6	409364.66	401093.28	384437.03	428786.06	312178.53	128307.66	302197.5
293746.8	311829.97	466667.66	337644.62	383796.06	324870.94	296238.7	445482.5	287056.75	306014.56	352608.9	260040.02	343512.53	409048.06	401637.66	384795.34	428736.7	310956.12	125993.89	299925.44
293664.22	311130.9	465756.5	337553.9	382661.34	324173.94	294931.62	444512.7	287465.47	306342.8	354352.56	259461.2	341163.28	409290.78	400547.66	383597.34	428117.8	312316.03	126087.94	300576.84
294528.34	311830.06	467215.8	337628.75	385366.44	325695.88	295380.44	446275.97	287423.22	306785.03	353185.0	260736.0	340699.03	411200.2	403860.25	386341.72	430860.84	310879.6	126352.71	301338.47
293846.94	312670.28	468123.97	337822.94	384276.03	324974.16	297271.2	444396.06	290112.94	306640.38	352760.44	259552.36	344233.62	409524.66	402350.75	385629.53	429903.16	311574.5	128833.125	301700.9
295022.5	313759.28	469773.16	337812.6	385281.66	326660.38	297650.6	446241.1	289095.75	307193.72	356884.2	259825.25	346086.12	410384.78	405232.9	386423.34	431105.72	312848.4	129500.625	301764.3
294521.38	312298.03	469359.97	337283.94	383939.5	325886.3	297163.06	443425.66	291484.34	307253.12	352773.84	259230.42	344322.75	409983.03	403460.2	385139.25	430484.0	311953.34	130608.19	301632.66
295851.56	314563.8	469976.44	338008.12	385039.94	326739.62	298616.9	445214.34	289773.84	308170.94	355521.3	259721.88	344572.62	410118.25	405447.75	388186.78	432252.34	310861.66	129314.984	301037.56
295323.7	313619.44	469553.03	338140.2	384395.84	325837.6	297064.38	443935.5	292318.0	307515.62	355990.16	260020.05	343667.94	408958.5	403240.7	385773.72	430809.06	312396.53	129664.03	302908.62
293989.0	310997.94	469104.38	337574.34	385375.62	325416.03	296014.22	445019.75	288909.72	306552.66	353496.78	260355.23	340930.34	410046.56	403652.22	387299.3	432321.1	310416.0	127533.14	300619.38
294972.44	312160.06	469773.1	338561.12	383522.16	325044.28	297153.56	443694.88	291271.53	307645.9	351653.75	260980.61	342323.34	408627.94	404038.25	386060.53	430534.88	311139.4	128642.01	302246.56
293874.16	310241.62	469819.94	337316.38	383801.03	324325.47	297459.7	443465.75	289030.78	308051.78	354739.47	260132.56	343830.1	409961.8	403627.44	387769.88	431851.06	311688.9	126622.8	299765.0
295532.7	311737.66	470928.2	338069.1	383786.2	325469.62	296947.56	444299.38	290398.47	307138.4	356175.94	260057.64	341587.6	409734.72	403074.9	386700.53	431737.72	311987.6	128874.63	301698.38
294573.9	309909.75	470466.78	337695.2	385933.38	325937.9	297741.5	444410.12	289204.8	307237.03	353101.06	261082.52	340892.2	410039.53	405223.16	388835.44	433415.6	310847.1	127807.03	300094.3
295474.28	312073.9	471287.75	338371.4	386041.1	326739.2	298869.88	444494.4	291299.62	308437.75	354102.3	260824.3	343053.7	408800.88	404141.38	389420.8	433301.6	310682.8	130905.67	301437.3
297028.84	312433.06	472532.75	338607.47	388871.12	328560.03	298459.06	444792.56	290277.72	308304.28	357259.7	262762.75	341227.72	412254.03	406744.2	391118.9	435625.2	312637.25	129433.484	301080.56
296340.94	311599.16	472518.06	338521.5	385967.56	328215.47	297033.4	443741.7	294196.34	308576.47	352281.78	261842.5	341581.06	408811.56	403416.38	387512.3	431164.66	311822.16	131750.6	303626.1
295489.7	309770.88	472307.8	338248.44	387958.88	328258.03	298319.25	443489.5	290141.1	308856.88	357512.1	262023.25	342667.2	411973.2	404638.3	389844.4	434298.2	312738.06	129076.695	300783.78
